# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	663
#@/user_id	d8ce8624-1d62-4540-bc0f-4a9007e2f3a8
a 	啊	c=2 d=1.23012 t=663
a gen ting 	阿根廷	c=2 d=1.93707 t=648
a san deng fen 	啊三等分	c=5 d=1.64859 t=663
an quan 	安全	c=2 d=0.214268 t=663
an zhao 	按照	c=1 d=0.153355 t=663
an zhuang 	安裝	c=2 d=0.40493 t=663
ba 	把	c=1 d=0.56836 t=663
ban pei 	般配	c=1 d=0.97531 t=663
bang wo 	幫我	c=1 d=1 t=583
bao 	寶	c=1 d=0.631284 t=663
bao cun 	保存	c=1 d=0.119433 t=663
bei 	卑	c=1 d=0.398519 t=663
bei 	被	c=2 d=1.66062 t=663
bei mian 	背面	c=0 d=0.0131336 t=663
bei mian de wo 	背面的我	c=1 d=0.131994 t=663
bi jiao 	比較	c=1 d=1 t=660
bi jing 	畢竟	c=1 d=1 t=659
bi mian 	避免	c=1 d=0.235746 t=663
bi ye sheng 	畢業生	c=5 d=3.34631 t=663
bian liang 	變量	c=2 d=0.402396 t=663
bian ren 	變人	c=1 d=1 t=638
biao ming 	表明	c=1 d=0.852144 t=663
biao qian 	標籤	c=1 d=1 t=555
bo ke 	播客	c=1 d=0.305746 t=663
bu 	不	c=0 d=0.0174645 t=663
bu dui 	不對	c=1 d=0.951229 t=663
bu gan 	不敢	c=1 d=1 t=629
bu hui 	不會	c=1 d=0.179066 t=663
bu neng 	不能	c=1 d=0.332871 t=663
bu shi 	不是	c=1 d=0.0997588 t=663
bu shi ta 	不是他	c=1 d=1 t=631
bu xiang 	不想	c=1 d=1 t=632
bu yao 	不要	c=1 d=0.810584 t=663
bu zai yi 	不在意	c=0 d=0.0169483 t=663
bu zai you yu 	不再猶豫	c=1 d=0.211189 t=663
bu zhuan qian 	不賺錢	c=1 d=0.17552 t=663
bu zu 	不足	c=1 d=0.115325 t=663
cai 	才	c=0 d=0.0169483 t=663
cai bu zai yi 	才不在意	c=1 d=0.170333 t=663
can shu 	參數	c=2 d=0.528813 t=663
